site_id,site_name,latitude,longitude,region,habitat_type,sediment_type,carbon_density_gCm2,sequestration_rate_gCm2yr,measurement_depth_cm,survey_year,data_source,access_type,notes,is_carbon_gap,site,percent_fines,percent_oc,d13C,d15N,habitat_area_ha,min_distance_to_port_km,anthropogenic_stress_index,sea_surface_temperature_c,sea_surface_salinity_pss,buoy_temperature_c,buoy_salinity_pss,neighbor_density_15km,spatial_cluster_id,spatial_cluster_0.0,spatial_cluster_1.0,spatial_cluster_2.0,spatial_cluster_3.0,spatial_cluster_4.0,spatial_cluster_5.0,carbon_density_gCm2_final
BC-EEL-013,Saanich Inlet - Eelgrass Beds,48.62,-123.48,Salish Sea,eelgrass,mud,,,25,2022,Islands Trust / BC Data Catalogue ShoreZone,open,"CARBON_GAP: GIS polygon mapping (shape, plant density); no sediment carbon measurements",True,,1.92,0.4853488372093023,-20.27,4.9350000000000005,0.0775797591655,22.798341986534428,0.042019734003562924,10.909807509299947,10.895901773231616,,,1.0,0.0,True,False,False,False,False,False,2578.388741359275
BC-EEL-014,Bamfield Inlet,48.835,-125.137,West Coast VI,eelgrass,mud,,,25,2021,NRCan Benthic Mapping / BC Data Catalogue,open,CARBON_GAP: GIS polygon only; no carbon density measurement,True,,1.92,0.4853488372093023,-20.27,4.9350000000000005,0.0775797591655,137.5095560080249,0.007219718471569301,9.81882743754255,5.140550391974547,9.81882743754255,5.140550391974547,0.0,2.0,False,False,True,False,False,False,1336.3651982003666
BC-EEL-015,Salish Sea - SeaChange Transplant Monitoring Network,49.0,-123.5,Salish Sea,eelgrass,unknown,,,25,2020,SeaChange Marine Conservation Society (Zenodo),open,CARBON_GAP: density and health monitoring at 40 sites; environmental conditions (HOBO loggers); no sediment carbon data; COORD_APPROX: network centroid,True,,1.92,0.4853488372093023,-20.27,4.9350000000000005,0.0775797591655,41.826163316762056,0.02335021217295462,11.926927850929172,12.05439736358481,11.926927850929172,12.05439736358481,3.0,3.0,False,False,False,True,False,False,2072.742676513674
BC-EEL-016,Tofino Mudflats,49.153,-125.907,West Coast VI,eelgrass,mud_sand,,,25,2020,BC Shore Spawners Alliance / CMN Eelgrass Bed Mapping Atlas,grey_literature,CARBON_GAP: habitat distribution mapping; no sediment cores; grey literature source,True,,1.92,0.4853488372093023,-20.27,4.9350000000000005,0.0775797591655,202.56526321875197,0.004912429479313455,10.585488919562964,4.731581593017603,10.585488919562964,4.731581593017603,1.0,2.0,False,False,True,False,False,False,1336.3651982003666
BC-EEL-017,Cowichan Bay - Dwarf Eelgrass (Z. japonica),48.77,-123.61,Salish Sea,eelgrass_dwarf,sand,,,25,2019,DFO Coastal Survey / BC Data Catalogue,open,CARBON_GAP: Z. japonica habitat; lower carbon density expected than Z. marina; no direct measurements,True,,1.92,0.4853488372093023,-20.27,4.9350000000000005,0.0775797591655,41.89015283317222,0.02331537506731795,11.429417161844416,11.180636101878704,11.429417161844416,11.180636101878704,2.0,3.0,False,False,False,True,False,False,2066.980058103172
BC-EEL-018,BC Coastal Eelgrass - CRIMS Legacy Network,51.5,-127.5,Central Coast,eelgrass,unknown,,,25,1990,BC Data Catalogue - CRIMS,open,"CARBON_GAP: legacy distribution data (relative abundance, importance); no carbon data; YEAR_EST: historical dataset, year estimated; COORD_APPROX: representative central coast coordinate",True,,1.92,0.4853488372093023,-20.27,4.9350000000000005,0.0775797591655,365.9759314755574,0.002724974349078273,10.909807509299947,10.895901773231616,7.714044418694477,28.107655465430668,0.0,1.0,False,True,False,False,False,False,1795.653901797612
BC-EEL-019,Portage Inlet,48.4615,-123.4192,Salish Sea,eelgrass,unknown,3940.0,,25,2023,Lin 2024 (SFU Master's Thesis),academic,"Eelgrass meadow carbon stock 39.4 Mg C/ha (3940 g C/m²), statistically similar to adjacent unvegetated mudflats.",False,,1.92,0.4853488372093023,-20.27,4.9350000000000005,0.0775797591655,5.1791235408916005,0.1618352495110832,10.9098436933928,10.895901773231616,10.9098436933928,10.895901773231616,171.0,0.0,True,False,False,False,False,False,3940.0
US-EEL-001,Skagit County (3 Bays),48.48,-122.49,Salish Sea,eelgrass,unknown,2710.0,43.88,50,2016,Lutz 2018 (WWU Master's Thesis),academic,"Mean OC stock (to 50cm) 27.10 Mg ha⁻¹ (2710 g C/m²); mean sequestration rate 43.88 g C m⁻² yr⁻¹ from Padilla, Samish, and Skagit Bays.",False,,1.92,0.4853488372093023,-23.74,3.3,0.0775797591655,65.13503727091609,0.015120578157438577,11.537347246168324,12.265628621955235,11.537347246168324,12.265628621955235,1.0,4.0,False,False,False,False,True,False,2710.0
CRD-EEL-001,CRD Eelgrass Site 1,48.43193125497348,-123.46060950301978,Salish Sea,eelgrass,mud_sand,3940.0,,25,2024,CRD Harbours Atlas (ArcGIS MapServer Layer 25),open,CRD_ATTRIBUTION: used with permission from Capital Regional District; CARBON_GAP,False,,1.92,0.4853488372093023,-20.27,4.9350000000000005,0.0892140434335,6.711551330449286,0.12967559407294232,10.89306755007978,10.893302142802744,10.89306755007978,10.893302142802744,171.0,0.0,True,False,False,False,False,False,3940.0
CRD-EEL-002,CRD Eelgrass Site 2,48.43193428330508,-123.46028191692116,Salish Sea,eelgrass,mud_sand,3940.0,,25,2024,CRD Harbours Atlas (ArcGIS MapServer Layer 25),open,CRD_ATTRIBUTION: used with permission from Capital Regional District; CARBON_GAP,False,,1.92,0.4853488372093023,-20.27,4.9350000000000005,0.09645264697049999,6.687442691999512,0.1300822705372128,10.89306755007978,10.893302142802744,10.89306755007978,10.893302142802744,171.0,0.0,True,False,False,False,False,False,3940.0
